2/15/2015 2:42:25 PM Expected non-empty string, but got empty string
2/15/2015 2:45:27 PM Expected non-empty string, but got empty string
2/15/2015 2:45:29 PM Expected non-empty string, but got empty string
2/15/2015 2:45:29 PM Expected state abbreviation, but got WI
2/15/2015 2:46:13 PM Expected non-empty string, but got empty string
2/15/2015 2:54:00 PM Expected non-empty string, but got empty string
2/15/2015 2:54:03 PM Expected non-empty string, but got empty string
2/15/2015 2:54:03 PM Expected state abbreviation, but got MN
2/15/2015 2:54:26 PM Expected non-empty string, but got empty string
2/15/2015 2:54:30 PM Expected non-empty string, but got empty string
2/15/2015 2:54:30 PM Expected state abbreviation, but got SD
2/15/2015 2:54:33 PM Expected non-empty string, but got empty string
2/15/2015 2:54:36 PM Expected decimal, but got 270
3/10/2015 3:59:54 PM Expected non-empty string, but got empty string
3/10/2015 3:59:55 PM Expected non-empty string, but got empty string
3/10/2015 4:00:30 PM Expected state abbreviation, but got 2
3/10/2015 4:01:11 PM Expected non-empty string, but got empty string
